instruNet waves in merged TEXT form #2

Notes:	
Date & Time:	01/20/2020	17:38:52
ChanName:	Ch1 Vin+	Ch4 Vin+
UserName:	Ch1 Vin+	Ch4 Vin+
vUnits:	Volts	Volts
hUnits:	Secs	Secs
PtsPerScan:	0000010000	0000010000
NumScansBeforeLastScan:	0000000000	0000000000
PtsInLastScan:	0000010000	0000010000
1stPtTime:	+0.000000000e+000	+0.000000000e+000
SamplePeriod:	+2.000000000e-001	+2.000000000e-001
netNum:	01	01
devNum:	01	01
modNum:	01	01
chNum:	001	004
BytesPerRow:	-1	-1
FirstDataByte:	-1	-1
key:	21940	21940
1904secs:	3662402482	3662402482
DataType:	+05	+05
Internal1:	+5.000000000e+000	+5.000000000e+000
External1:	+5.000000000e+000	+5.000000000e+000
Internal2:	-5.000000000e+000	-5.000000000e+000
External2:	-5.000000000e+000	-5.000000000e+000
Secs	Ch1 Vin+	Ch4 Vin+
+1.8200000e+1	+1.0817878e+0	+0.1393904e-2
+1.8400000e+1	+1.0872811e+0	+0.1365364e-2
+1.8600000e+1	+1.0994886e+0	+0.1362985e-2
+1.8800000e+1	+1.1013198e+0	+0.1404607e-2
+1.9000000e+1	+1.0933849e+0	+0.1384391e-2
+1.9200000e+1	+1.1013198e+0	+0.1341580e-2
+1.9400000e+1	+1.0946057e+0	+0.1365364e-2
+1.9600000e+1	+1.0744634e+0	+0.1353472e-2
+1.9800000e+1	+1.0854501e+0	+0.1410553e-2
+2.0000000e+1	+1.0830085e+0	+0.1387959e-2
+2.0200000e+1	+1.0860604e+0	+0.1348715e-2
+2.0400000e+1	+1.0933849e+0	+0.1385580e-2
+2.0600000e+1	+1.0830085e+0	+0.1383202e-2
+2.0800000e+1	+1.0946057e+0	+0.1366553e-2
+2.1000000e+1	+1.0909435e+0	+0.1358229e-2
+2.1200000e+1	+1.0915538e+0	+0.1386769e-2
+2.1400000e+1	+1.0830085e+0	+0.1358229e-2
+2.1600000e+1	+1.0897226e+0	+0.1353472e-2
+2.1800000e+1	+1.0830085e+0	+0.1349904e-2
+2.2000000e+1	+1.0823982e+0	+0.1364175e-2
+2.2200000e+1	+1.0915538e+0	+0.1393904e-2
+2.2400000e+1	+1.0842294e+0	+0.1382013e-2
+2.2600000e+1	+1.0830085e+0	+0.1370121e-2
+2.2800000e+1	+1.0836189e+0	+0.1402229e-2
+2.3000000e+1	+1.0854501e+0	+0.1401040e-2
+2.3200000e+1	+1.0769048e+0	+0.1382013e-2
+2.3400000e+1	+1.0842294e+0	+0.1376067e-2
+2.3600000e+1	+1.0744634e+0	+0.1351094e-2
+2.3800000e+1	+1.0769048e+0	+0.1362985e-2
+2.4000000e+1	+1.0799567e+0	+0.1372499e-2
+2.4200000e+1	+1.0750737e+0	+0.1373688e-2
+2.4400000e+1	+1.0677493e+0	+0.1392715e-2
+2.4600000e+1	+1.0695803e+0	+0.1359418e-2
+2.4800000e+1	+1.0817878e+0	+0.1349904e-2
+2.5000000e+1	+1.0769048e+0	+0.1339202e-2
+2.5200000e+1	+1.0799567e+0	+0.1348715e-2
+2.5400000e+1	+1.0915538e+0	+0.1398661e-2
+2.5600000e+1	+1.0903330e+0	+0.1365364e-2
+2.5800000e+1	+1.0762944e+0	+0.1384391e-2
+2.6000000e+1	+1.0897226e+0	+0.1355850e-2
