instruNet waves in merged TEXT form #2

Notes:	
Date & Time:	01/20/2020	17:38:52
ChanName:	Ch1 Vin+	Ch4 Vin+
UserName:	Ch1 Vin+	Ch4 Vin+
vUnits:	Volts	Volts
hUnits:	Secs	Secs
PtsPerScan:	0000010000	0000010000
NumScansBeforeLastScan:	0000000000	0000000000
PtsInLastScan:	0000010000	0000010000
1stPtTime:	+0.000000000e+000	+0.000000000e+000
SamplePeriod:	+2.000000000e-001	+2.000000000e-001
netNum:	01	01
devNum:	01	01
modNum:	01	01
chNum:	001	004
BytesPerRow:	-1	-1
FirstDataByte:	-1	-1
key:	21940	21940
1904secs:	3662402482	3662402482
DataType:	+05	+05
Internal1:	+5.000000000e+000	+5.000000000e+000
External1:	+5.000000000e+000	+5.000000000e+000
Internal2:	-5.000000000e+000	-5.000000000e+000
External2:	-5.000000000e+000	-5.000000000e+000
Secs	Ch1 Vin+	Ch4 Vin+
+4.1400000e+2	+1.0866708e+0	+0.1255958e-2
+4.1420000e+2	+1.0775152e+0	+0.1259526e-2
+4.1440000e+2	+1.0817878e+0	+0.1248823e-2
+4.1460000e+2	+1.0891123e+0	+0.1241688e-2
+4.1480000e+2	+1.0738530e+0	+0.1229796e-2
+4.1500000e+2	+1.0762944e+0	+0.1230985e-2
+4.1520000e+2	+1.0750737e+0	+0.1238120e-2
+4.1540000e+2	+1.0744634e+0	+0.1229796e-2
+4.1560000e+2	+1.0769048e+0	+0.1251202e-2
+4.1580000e+2	+1.0732425e+0	+0.1200066e-2
+4.1600000e+2	+1.0689700e+0	+0.1221472e-2
+4.1620000e+2	+1.0762944e+0	+0.1258337e-2
+4.1640000e+2	+1.0683596e+0	+0.1217904e-2
+4.1660000e+2	+1.0659181e+0	+0.1261904e-2
+4.1680000e+2	+1.0653077e+0	+0.1294012e-2
+4.1700000e+2	+1.0720218e+0	+0.1236931e-2
+4.1720000e+2	+1.0671389e+0	+0.1254769e-2
+4.1740000e+2	+1.0683596e+0	+0.1267850e-2
+4.1760000e+2	+1.0701907e+0	+0.1259526e-2
+4.1780000e+2	+1.0708011e+0	+0.1248823e-2
+4.1800000e+2	+1.0683596e+0	+0.1244066e-2
+4.1820000e+2	+1.0677493e+0	+0.1202445e-2
+4.1840000e+2	+1.0732425e+0	+0.1238120e-2
+4.1860000e+2	+1.0689700e+0	+0.1255958e-2
+4.1880000e+2	+1.0720218e+0	+0.1225039e-2
+4.1900000e+2	+1.0714115e+0	+0.1241688e-2
+4.1920000e+2	+1.0701907e+0	+0.1229796e-2
+4.1940000e+2	+1.0756841e+0	+0.1248823e-2
+4.1960000e+2	+1.0738530e+0	+0.1259526e-2
+4.1980000e+2	+1.0769048e+0	+0.1238120e-2
+4.2000000e+2	+1.0787359e+0	+0.1255958e-2
+4.2020000e+2	+1.0799567e+0	+0.1277364e-2
+4.2040000e+2	+1.0714115e+0	+0.1232174e-2
+4.2060000e+2	+1.0817878e+0	+0.1279742e-2
+4.2080000e+2	+1.0732425e+0	+0.1232174e-2
+4.2100000e+2	+1.0738530e+0	+0.1255958e-2
+4.2120000e+2	+1.0781256e+0	+0.1234553e-2
+4.2140000e+2	+1.0701907e+0	+0.1279742e-2
+4.2160000e+2	+1.0781256e+0	+0.1241688e-2
+4.2180000e+2	+1.0750737e+0	+0.1263093e-2
+4.2200000e+2	+1.0787359e+0	+0.1240499e-2
+4.2220000e+2	+1.0823982e+0	+0.1246445e-2
+4.2240000e+2	+1.0799567e+0	+0.1248823e-2
+4.2260000e+2	+1.0781256e+0	+0.1255958e-2
+4.2280000e+2	+1.0799567e+0	+0.1255958e-2
+4.2300000e+2	+1.0811775e+0	+0.1228607e-2
+4.2320000e+2	+1.0836189e+0	+0.1210769e-2
+4.2340000e+2	+1.0854501e+0	+0.1229796e-2
+4.2360000e+2	+1.0897226e+0	+0.1258337e-2
+4.2380000e+2	+1.0775152e+0	+0.1255958e-2
+4.2400000e+2	+1.0897226e+0	+0.1215526e-2
+4.2420000e+2	+1.0866708e+0	+0.1227418e-2
+4.2440000e+2	+1.0799567e+0	+0.1206012e-2
+4.2460000e+2	+1.0866708e+0	+0.1251202e-2
+4.2480000e+2	+1.0891123e+0	+0.1274985e-2
+4.2500000e+2	+1.0866708e+0	+0.1240499e-2
+4.2520000e+2	+1.0897226e+0	+0.1252391e-2
+4.2540000e+2	+1.0903330e+0	+0.1223850e-2
+4.2560000e+2	+1.0921642e+0	+0.1221472e-2
+4.2580000e+2	+1.0909435e+0	+0.1248823e-2
+4.2600000e+2	+1.0988783e+0	+0.1234553e-2
+4.2620000e+2	+1.0909435e+0	+0.1226229e-2
+4.2640000e+2	+1.0939952e+0	+0.1221472e-2
+4.2660000e+2	+1.0921642e+0	+0.1223850e-2
+4.2680000e+2	+1.0927745e+0	+0.1215526e-2
+4.2700000e+2	+1.0946057e+0	+0.1233364e-2
+4.2720000e+2	+1.0915538e+0	+0.1241688e-2
+4.2740000e+2	+1.0921642e+0	+0.1225039e-2
+4.2760000e+2	+1.0897226e+0	+0.1220283e-2
+4.2780000e+2	+1.0891123e+0	+0.1255958e-2
+4.2800000e+2	+1.0866708e+0	+0.1236931e-2
+4.2820000e+2	+1.0903330e+0	+0.1282120e-2
+4.2840000e+2	+1.0897226e+0	+0.1248823e-2
+4.2860000e+2	+1.0897226e+0	+0.1241688e-2
+4.2880000e+2	+1.0933849e+0	+0.1252391e-2
+4.2900000e+2	+1.0976574e+0	+0.1229796e-2
+4.2920000e+2	+1.0909435e+0	+0.1257148e-2
+4.2940000e+2	+1.0830085e+0	+0.1201256e-2
+4.2960000e+2	+1.0891123e+0	+0.1260715e-2
+4.2980000e+2	+1.0817878e+0	+0.1236931e-2
+4.3000000e+2	+1.0878916e+0	+0.1263093e-2
+4.3020000e+2	+1.0854501e+0	+0.1269039e-2
+4.3040000e+2	+1.0799567e+0	+0.1255958e-2
+4.3060000e+2	+1.0830085e+0	+0.1248823e-2
+4.3080000e+2	+1.0860604e+0	+0.1255958e-2
+4.3100000e+2	+1.0781256e+0	+0.1263093e-2
+4.3120000e+2	+1.0860604e+0	+0.1245256e-2
+4.3140000e+2	+1.0842294e+0	+0.1232174e-2
+4.3160000e+2	+1.0842294e+0	+0.1238120e-2
+4.3180000e+2	+1.0823982e+0	+0.1255958e-2
+4.3200000e+2	+1.0854501e+0	+0.1260715e-2
+4.3220000e+2	+1.0830085e+0	+0.1232174e-2
+4.3240000e+2	+1.0799567e+0	+0.1222661e-2
+4.3260000e+2	+1.0817878e+0	+0.1252391e-2
+4.3280000e+2	+1.0787359e+0	+0.1223850e-2
+4.3300000e+2	+1.0811775e+0	+0.1233364e-2
+4.3320000e+2	+1.0744634e+0	+0.1238120e-2
+4.3340000e+2	+1.0805671e+0	+0.1244066e-2
+4.3360000e+2	+1.0762944e+0	+0.1234553e-2
+4.3380000e+2	+1.0817878e+0	+0.1266661e-2
+4.3400000e+2	+1.0817878e+0	+0.1236931e-2
+4.3420000e+2	+1.0830085e+0	+0.1286877e-2
+4.3440000e+2	+1.0817878e+0	+0.1229796e-2
+4.3460000e+2	+1.0823982e+0	+0.1238120e-2
+4.3480000e+2	+1.0793463e+0	+0.1236931e-2
+4.3500000e+2	+1.0805671e+0	+0.1226229e-2
+4.3520000e+2	+1.0781256e+0	+0.1274985e-2
+4.3540000e+2	+1.0756841e+0	+0.1252391e-2
+4.3560000e+2	+1.0726322e+0	+0.1258337e-2
+4.3580000e+2	+1.0744634e+0	+0.1222661e-2
+4.3600000e+2	+1.0769048e+0	+0.1250012e-2
+4.3620000e+2	+1.0793463e+0	+0.1225039e-2
+4.3640000e+2	+1.0836189e+0	+0.1222661e-2
+4.3660000e+2	+1.0830085e+0	+0.1234553e-2
+4.3680000e+2	+1.0836189e+0	+0.1270229e-2
+4.3700000e+2	+1.0836189e+0	+0.1227418e-2
+4.3720000e+2	+1.0830085e+0	+0.1240499e-2
+4.3740000e+2	+1.0891123e+0	+0.1226229e-2
+4.3760000e+2	+1.0897226e+0	+0.1246445e-2
+4.3780000e+2	+1.0897226e+0	+0.1251202e-2
+4.3800000e+2	+1.0878916e+0	+0.1234553e-2
+4.3820000e+2	+1.0921642e+0	+0.1259526e-2
+4.3840000e+2	+1.0860604e+0	+0.1244066e-2
+4.3860000e+2	+1.0921642e+0	+0.1260715e-2
+4.3880000e+2	+1.0885019e+0	+0.1217904e-2
+4.3900000e+2	+1.0781256e+0	+0.1258337e-2
+4.3920000e+2	+1.0854501e+0	+0.1248823e-2
+4.3940000e+2	+1.0915538e+0	+0.1241688e-2
+4.3960000e+2	+1.0842294e+0	+0.1258337e-2
+4.3980000e+2	+1.0921642e+0	+0.1258337e-2
+4.4000000e+2	+1.0946057e+0	+0.1211958e-2
+4.4020000e+2	+1.0854501e+0	+0.1284499e-2
+4.4040000e+2	+1.0903330e+0	+0.1236931e-2
+4.4060000e+2	+1.0927745e+0	+0.1284499e-2
+4.4080000e+2	+1.0817878e+0	+0.1245256e-2
+4.4100000e+2	+1.0915538e+0	+0.1242877e-2
+4.4120000e+2	+1.0939952e+0	+0.1219093e-2
+4.4140000e+2	+1.0860604e+0	+0.1239310e-2
+4.4160000e+2	+1.0970471e+0	+0.1210769e-2
+4.4180000e+2	+1.0939952e+0	+0.1260715e-2
+4.4200000e+2	+1.0970471e+0	+0.1244066e-2
+4.4220000e+2	+1.0946057e+0	+0.1227418e-2
+4.4240000e+2	+1.0946057e+0	+0.1192931e-2
+4.4260000e+2	+1.1007093e+0	+0.1250012e-2
+4.4280000e+2	+1.0939952e+0	+0.1236931e-2
+4.4300000e+2	+1.0970471e+0	+0.1227418e-2
+4.4320000e+2	+1.0946057e+0	+0.1248823e-2
+4.4340000e+2	+1.0964367e+0	+0.1206012e-2
+4.4360000e+2	+1.0927745e+0	+0.1254769e-2
+4.4380000e+2	+1.0927745e+0	+0.1257148e-2
+4.4400000e+2	+1.0946057e+0	+0.1238120e-2
+4.4420000e+2	+1.0946057e+0	+0.1210769e-2
+4.4440000e+2	+1.0946057e+0	+0.1254769e-2
+4.4460000e+2	+1.0946057e+0	+0.1220283e-2
+4.4480000e+2	+1.0939952e+0	+0.1253580e-2
+4.4500000e+2	+1.0927745e+0	+0.1229796e-2
+4.4520000e+2	+1.0970471e+0	+0.1250012e-2
+4.4540000e+2	+1.0976574e+0	+0.1251202e-2
+4.4560000e+2	+1.1019301e+0	+0.1234553e-2
+4.4580000e+2	+1.1007093e+0	+0.1265472e-2
+4.4600000e+2	+1.0958264e+0	+0.1251202e-2
+4.4620000e+2	+1.1025405e+0	+0.1203634e-2
+4.4640000e+2	+1.1000990e+0	+0.1229796e-2
+4.4660000e+2	+1.0927745e+0	+0.1248823e-2
+4.4680000e+2	+1.0897226e+0	+0.1234553e-2
+4.4700000e+2	+1.0866708e+0	+0.1204823e-2
+4.4720000e+2	+1.0775152e+0	+0.1239310e-2
+4.4740000e+2	+1.0793463e+0	+0.1248823e-2
+4.4760000e+2	+1.0878916e+0	+0.1235742e-2
+4.4780000e+2	+1.0836189e+0	+0.1210769e-2
+4.4800000e+2	+1.0891123e+0	+0.1238120e-2
+4.4820000e+2	+1.0860604e+0	+0.1248823e-2
+4.4840000e+2	+1.0799567e+0	+0.1234553e-2
+4.4860000e+2	+1.0885019e+0	+0.1202445e-2
+4.4880000e+2	+1.0891123e+0	+0.1252391e-2
+4.4900000e+2	+1.0775152e+0	+0.1238120e-2
+4.4920000e+2	+1.0872811e+0	+0.1206012e-2
+4.4940000e+2	+1.0823982e+0	+0.1233364e-2
+4.4960000e+2	+1.0781256e+0	+0.1253580e-2
+4.4980000e+2	+1.0811775e+0	+0.1266661e-2
+4.5000000e+2	+1.0872811e+0	+0.1241688e-2
+4.5020000e+2	+1.0793463e+0	+0.1225039e-2
+4.5040000e+2	+1.0860604e+0	+0.1229796e-2
+4.5060000e+2	+1.0775152e+0	+0.1263093e-2
+4.5080000e+2	+1.0750737e+0	+0.1260715e-2
+4.5100000e+2	+1.0787359e+0	+0.1244066e-2
+4.5120000e+2	+1.0750737e+0	+0.1229796e-2
+4.5140000e+2	+1.0781256e+0	+0.1250012e-2
+4.5160000e+2	+1.0732425e+0	+0.1227418e-2
+4.5180000e+2	+1.0714115e+0	+0.1223850e-2
+4.5200000e+2	+1.0744634e+0	+0.1244066e-2
+4.5220000e+2	+1.0732425e+0	+0.1252391e-2
+4.5240000e+2	+1.0750737e+0	+0.1242877e-2
+4.5260000e+2	+1.0671389e+0	+0.1269039e-2
+4.5280000e+2	+1.0750737e+0	+0.1248823e-2
+4.5300000e+2	+1.0769048e+0	+0.1234553e-2
+4.5320000e+2	+1.0756841e+0	+0.1238120e-2
+4.5340000e+2	+1.0708011e+0	+0.1235742e-2
+4.5360000e+2	+1.0732425e+0	+0.1244066e-2
+4.5380000e+2	+1.0732425e+0	+0.1234553e-2
+4.5400000e+2	+1.0726322e+0	+0.1202445e-2
+4.5420000e+2	+1.0744634e+0	+0.1269039e-2
+4.5440000e+2	+1.0793463e+0	+0.1239310e-2
+4.5460000e+2	+1.0726322e+0	+0.1234553e-2
+4.5480000e+2	+1.0793463e+0	+0.1241688e-2
+4.5500000e+2	+1.0732425e+0	+0.1245256e-2
+4.5520000e+2	+1.0750737e+0	+0.1240499e-2
+4.5540000e+2	+1.0750737e+0	+0.1219093e-2
+4.5560000e+2	+1.0769048e+0	+0.1244066e-2
+4.5580000e+2	+1.0750737e+0	+0.1248823e-2
+4.5600000e+2	+1.0769048e+0	+0.1234553e-2
+4.5620000e+2	+1.0830085e+0	+0.1245256e-2
+4.5640000e+2	+1.0781256e+0	+0.1206012e-2
+4.5660000e+2	+1.0799567e+0	+0.1232174e-2
+4.5680000e+2	+1.0817878e+0	+0.1238120e-2
+4.5700000e+2	+1.0775152e+0	+0.1265472e-2
+4.5720000e+2	+1.0830085e+0	+0.1211958e-2
+4.5740000e+2	+1.0854501e+0	+0.1240499e-2
+4.5760000e+2	+1.0823982e+0	+0.1244066e-2
+4.5780000e+2	+1.0811775e+0	+0.1248823e-2
+4.5800000e+2	+1.0842294e+0	+0.1229796e-2
+4.5820000e+2	+1.0817878e+0	+0.1267850e-2
+4.5840000e+2	+1.0854501e+0	+0.1215526e-2
+4.5860000e+2	+1.0897226e+0	+0.1220283e-2
+4.5880000e+2	+1.0860604e+0	+0.1239310e-2
+4.5900000e+2	+1.0915538e+0	+0.1251202e-2
+4.5920000e+2	+1.0897226e+0	+0.1252391e-2
+4.5940000e+2	+1.0848397e+0	+0.1244066e-2
+4.5960000e+2	+1.0946057e+0	+0.1248823e-2
+4.5980000e+2	+1.0909435e+0	+0.1227418e-2
+4.6000000e+2	+1.0897226e+0	+0.1260715e-2
+4.6020000e+2	+1.0964367e+0	+0.1215526e-2
+4.6040000e+2	+1.0927745e+0	+0.1226229e-2
+4.6060000e+2	+1.0915538e+0	+0.1234553e-2
+4.6080000e+2	+1.0939952e+0	+0.1210769e-2
+4.6100000e+2	+1.0939952e+0	+0.1206012e-2
+4.6120000e+2	+1.0897226e+0	+0.1248823e-2
+4.6140000e+2	+1.0927745e+0	+0.1229796e-2
+4.6160000e+2	+1.0897226e+0	+0.1225039e-2
+4.6180000e+2	+1.0958264e+0	+0.1248823e-2
+4.6200000e+2	+1.0946057e+0	+0.1259526e-2
+4.6220000e+2	+1.0909435e+0	+0.1272607e-2
+4.6240000e+2	+1.0915538e+0	+0.1227418e-2
+4.6260000e+2	+1.0927745e+0	+0.1253580e-2
+4.6280000e+2	+1.0885019e+0	+0.1225039e-2
+4.6300000e+2	+1.0976574e+0	+0.1232174e-2
+4.6320000e+2	+1.0946057e+0	+0.1236931e-2
+4.6340000e+2	+1.0897226e+0	+0.1227418e-2
+4.6360000e+2	+1.0976574e+0	+0.1210769e-2
+4.6380000e+2	+1.0891123e+0	+0.1234553e-2
+4.6400000e+2	+1.0836189e+0	+0.1232174e-2
+4.6420000e+2	+1.0897226e+0	+0.1236931e-2
+4.6440000e+2	+1.0891123e+0	+0.1229796e-2
+4.6460000e+2	+1.0885019e+0	+0.1234553e-2
+4.6480000e+2	+1.0909435e+0	+0.1253580e-2
+4.6500000e+2	+1.0946057e+0	+0.1263093e-2
+4.6520000e+2	+1.0958264e+0	+0.1206012e-2
+4.6540000e+2	+1.0927745e+0	+0.1238120e-2
+4.6560000e+2	+1.0891123e+0	+0.1220283e-2
+4.6580000e+2	+1.0939952e+0	+0.1232174e-2
+4.6600000e+2	+1.0897226e+0	+0.1270229e-2
+4.6620000e+2	+1.0866708e+0	+0.1217904e-2
+4.6640000e+2	+1.0933849e+0	+0.1258337e-2
+4.6660000e+2	+1.0866708e+0	+0.1240499e-2
+4.6680000e+2	+1.0793463e+0	+0.1229796e-2
+4.6700000e+2	+1.0946057e+0	+0.1210769e-2
+4.6720000e+2	+1.0823982e+0	+0.1266661e-2
+4.6740000e+2	+1.0805671e+0	+0.1241688e-2
+4.6760000e+2	+1.0781256e+0	+0.1219093e-2
+4.6780000e+2	+1.0775152e+0	+0.1219093e-2
+4.6800000e+2	+1.0799567e+0	+0.1214337e-2
+4.6820000e+2	+1.0769048e+0	+0.1244066e-2
+4.6840000e+2	+1.0811775e+0	+0.1248823e-2
+4.6860000e+2	+1.0799567e+0	+0.1248823e-2
+4.6880000e+2	+1.0756841e+0	+0.1229796e-2
+4.6900000e+2	+1.0750737e+0	+0.1263093e-2
+4.6920000e+2	+1.0793463e+0	+0.1244066e-2
+4.6940000e+2	+1.0744634e+0	+0.1225039e-2
+4.6960000e+2	+1.0799567e+0	+0.1248823e-2
+4.6980000e+2	+1.0799567e+0	+0.1238120e-2
+4.7000000e+2	+1.0799567e+0	+0.1215526e-2
+4.7020000e+2	+1.0781256e+0	+0.1210769e-2
+4.7040000e+2	+1.0799567e+0	+0.1179850e-2
+4.7060000e+2	+1.0781256e+0	+0.1215526e-2
+4.7080000e+2	+1.0750737e+0	+0.1265472e-2
+4.7100000e+2	+1.0781256e+0	+0.1234553e-2
+4.7120000e+2	+1.0830085e+0	+0.1239310e-2
+4.7140000e+2	+1.0799567e+0	+0.1229796e-2
+4.7160000e+2	+1.0793463e+0	+0.1259526e-2
+4.7180000e+2	+1.0872811e+0	+0.1251202e-2
+4.7200000e+2	+1.0750737e+0	+0.1223850e-2
+4.7220000e+2	+1.0799567e+0	+0.1225039e-2
+4.7240000e+2	+1.0866708e+0	+0.1236931e-2
+4.7260000e+2	+1.0787359e+0	+0.1239310e-2
+4.7280000e+2	+1.0817878e+0	+0.1234553e-2
+4.7300000e+2	+1.0878916e+0	+0.1263093e-2
+4.7320000e+2	+1.0799567e+0	+0.1257148e-2
+4.7340000e+2	+1.0793463e+0	+0.1225039e-2
+4.7360000e+2	+1.0878916e+0	+0.1215526e-2
+4.7380000e+2	+1.0799567e+0	+0.1225039e-2
+4.7400000e+2	+1.0860604e+0	+0.1201256e-2
+4.7420000e+2	+1.0988783e+0	+0.1234553e-2
+4.7440000e+2	+1.0897226e+0	+0.1213147e-2
+4.7460000e+2	+1.0854501e+0	+0.1215526e-2
+4.7480000e+2	+1.0933849e+0	+0.1229796e-2
+4.7500000e+2	+1.0897226e+0	+0.1200066e-2
+4.7520000e+2	+1.0897226e+0	+0.1232174e-2
+4.7540000e+2	+1.0994886e+0	+0.1225039e-2
+4.7560000e+2	+1.0872811e+0	+0.1227418e-2
+4.7580000e+2	+1.0878916e+0	+0.1213147e-2
+4.7600000e+2	+1.1055924e+0	+0.1236931e-2
+4.7620000e+2	+1.0921642e+0	+0.1251202e-2
+4.7640000e+2	+1.0964367e+0	+0.1240499e-2
+4.7660000e+2	+1.1013198e+0	+0.1245256e-2
+4.7680000e+2	+1.0970471e+0	+0.1227418e-2
+4.7700000e+2	+1.1025405e+0	+0.1252391e-2
+4.7720000e+2	+1.1000990e+0	+0.1250012e-2
+4.7740000e+2	+1.0958264e+0	+0.1248823e-2
+4.7760000e+2	+1.1025405e+0	+0.1236931e-2
+4.7780000e+2	+1.0976574e+0	+0.1217904e-2
+4.7800000e+2	+1.0946057e+0	+0.1196499e-2
+4.7820000e+2	+1.0927745e+0	+0.1217904e-2
+4.7840000e+2	+1.0933849e+0	+0.1229796e-2
+4.7860000e+2	+1.0982679e+0	+0.1267850e-2
+4.7880000e+2	+1.1000990e+0	+0.1246445e-2
+4.7900000e+2	+1.0927745e+0	+0.1277364e-2
+4.7920000e+2	+1.0970471e+0	+0.1248823e-2
+4.7940000e+2	+1.0982679e+0	+0.1236931e-2
+4.7960000e+2	+1.0964367e+0	+0.1250012e-2
+4.7980000e+2	+1.0988783e+0	+0.1258337e-2
+4.8000000e+2	+1.0946057e+0	+0.1223850e-2
+4.8020000e+2	+1.0909435e+0	+0.1225039e-2
+4.8040000e+2	+1.1019301e+0	+0.1213147e-2
+4.8060000e+2	+1.0988783e+0	+0.1252391e-2
+4.8080000e+2	+1.0964367e+0	+0.1232174e-2
+4.8100000e+2	+1.0988783e+0	+0.1252391e-2
+4.8120000e+2	+1.0915538e+0	+0.1215526e-2
+4.8140000e+2	+1.0915538e+0	+0.1235742e-2
+4.8160000e+2	+1.0946057e+0	+0.1257148e-2
+4.8180000e+2	+1.0891123e+0	+0.1200066e-2
+4.8200000e+2	+1.0897226e+0	+0.1248823e-2
+4.8220000e+2	+1.0946057e+0	+0.1217904e-2
+4.8240000e+2	+1.0885019e+0	+0.1217904e-2
+4.8260000e+2	+1.0946057e+0	+0.1225039e-2
+4.8280000e+2	+1.0946057e+0	+0.1225039e-2
+4.8300000e+2	+1.0909435e+0	+0.1217904e-2
+4.8320000e+2	+1.0860604e+0	+0.1251202e-2
+4.8340000e+2	+1.0976574e+0	+0.1201256e-2
+4.8360000e+2	+1.0854501e+0	+0.1229796e-2
+4.8380000e+2	+1.0872811e+0	+0.1244066e-2
+4.8400000e+2	+1.0897226e+0	+0.1263093e-2
+4.8420000e+2	+1.0891123e+0	+0.1248823e-2
+4.8440000e+2	+1.0811775e+0	+0.1236931e-2
+4.8460000e+2	+1.0927745e+0	+0.1252391e-2
+4.8480000e+2	+1.0799567e+0	+0.1213147e-2
+4.8500000e+2	+1.0762944e+0	+0.1198877e-2
+4.8520000e+2	+1.0811775e+0	+0.1255958e-2
+4.8540000e+2	+1.0775152e+0	+0.1240499e-2
+4.8560000e+2	+1.0756841e+0	+0.1251202e-2
+4.8580000e+2	+1.0787359e+0	+0.1252391e-2
+4.8600000e+2	+1.0775152e+0	+0.1213147e-2
+4.8620000e+2	+1.0775152e+0	+0.1232174e-2
+4.8640000e+2	+1.0811775e+0	+0.1221472e-2
+4.8660000e+2	+1.0762944e+0	+0.1225039e-2
+4.8680000e+2	+1.0793463e+0	+0.1229796e-2
+4.8700000e+2	+1.0793463e+0	+0.1227418e-2
+4.8720000e+2	+1.0775152e+0	+0.1233364e-2
+4.8740000e+2	+1.0787359e+0	+0.1248823e-2
+4.8760000e+2	+1.0805671e+0	+0.1225039e-2
+4.8780000e+2	+1.0811775e+0	+0.1248823e-2
+4.8800000e+2	+1.0799567e+0	+0.1273796e-2
+4.8820000e+2	+1.0811775e+0	+0.1220283e-2
+4.8840000e+2	+1.0842294e+0	+0.1204823e-2
+4.8860000e+2	+1.0854501e+0	+0.1232174e-2
+4.8880000e+2	+1.0854501e+0	+0.1244066e-2
+4.8900000e+2	+1.0854501e+0	+0.1244066e-2
+4.8920000e+2	+1.0885019e+0	+0.1253580e-2
+4.8940000e+2	+1.0909435e+0	+0.1211958e-2
+4.8960000e+2	+1.0836189e+0	+0.1206012e-2
+4.8980000e+2	+1.0885019e+0	+0.1179850e-2
+4.9000000e+2	+1.0842294e+0	+0.1264283e-2
+4.9020000e+2	+1.0817878e+0	+0.1204823e-2
+4.9040000e+2	+1.0872811e+0	+0.1229796e-2
+4.9060000e+2	+1.0817878e+0	+0.1259526e-2
+4.9080000e+2	+1.0830085e+0	+0.1234553e-2
+4.9100000e+2	+1.0909435e+0	+0.1229796e-2
+4.9120000e+2	+1.0866708e+0	+0.1214337e-2
+4.9140000e+2	+1.0878916e+0	+0.1251202e-2
+4.9160000e+2	+1.0933849e+0	+0.1219093e-2
+4.9180000e+2	+1.0939952e+0	+0.1221472e-2
+4.9200000e+2	+1.0885019e+0	+0.1248823e-2
+4.9220000e+2	+1.0964367e+0	+0.1210769e-2
+4.9240000e+2	+1.0836189e+0	+0.1220283e-2
+4.9260000e+2	+1.0927745e+0	+0.1220283e-2
+4.9280000e+2	+1.0994886e+0	+0.1215526e-2
+4.9300000e+2	+1.0866708e+0	+0.1192931e-2
+4.9320000e+2	+1.0909435e+0	+0.1240499e-2
+4.9340000e+2	+1.0988783e+0	+0.1234553e-2
+4.9360000e+2	+1.0866708e+0	+0.1210769e-2
+4.9380000e+2	+1.1025405e+0	+0.1234553e-2
+4.9400000e+2	+1.0994886e+0	+0.1234553e-2
+4.9420000e+2	+1.0903330e+0	+0.1234553e-2
+4.9440000e+2	+1.0885019e+0	+0.1204823e-2
+4.9460000e+2	+1.0933849e+0	+0.1250012e-2
+4.9480000e+2	+1.0866708e+0	+0.1229796e-2
+4.9500000e+2	+1.0982679e+0	+0.1225039e-2
+4.9520000e+2	+1.0982679e+0	+0.1234553e-2
+4.9540000e+2	+1.0946057e+0	+0.1225039e-2
+4.9560000e+2	+1.1031508e+0	+0.1236931e-2
+4.9580000e+2	+1.1013198e+0	+0.1221472e-2
+4.9600000e+2	+1.0946057e+0	+0.1286877e-2
+4.9620000e+2	+1.0976574e+0	+0.1225039e-2
+4.9640000e+2	+1.0982679e+0	+0.1219093e-2
+4.9660000e+2	+1.0982679e+0	+0.1213147e-2
+4.9680000e+2	+1.0946057e+0	+0.1259526e-2
+4.9700000e+2	+1.0988783e+0	+0.1217904e-2
+4.9720000e+2	+1.0988783e+0	+0.1248823e-2
+4.9740000e+2	+1.0946057e+0	+0.1210769e-2
+4.9760000e+2	+1.0927745e+0	+0.1214337e-2
+4.9780000e+2	+1.0903330e+0	+0.1225039e-2
+4.9800000e+2	+1.0927745e+0	+0.1253580e-2
+4.9820000e+2	+1.0878916e+0	+0.1238120e-2
+4.9840000e+2	+1.0921642e+0	+0.1239310e-2
+4.9860000e+2	+1.0897226e+0	+0.1225039e-2
+4.9880000e+2	+1.0897226e+0	+0.1244066e-2
+4.9900000e+2	+1.0878916e+0	+0.1241688e-2
+4.9920000e+2	+1.0885019e+0	+0.1217904e-2
+4.9940000e+2	+1.0903330e+0	+0.1221472e-2
+4.9960000e+2	+1.0891123e+0	+0.1215526e-2
+4.9980000e+2	+1.0866708e+0	+0.1248823e-2
+5.0000000e+2	+1.0897226e+0	+0.1234553e-2
+5.0020000e+2	+1.0866708e+0	+0.1241688e-2
+5.0040000e+2	+1.0854501e+0	+0.1234553e-2
+5.0060000e+2	+1.0866708e+0	+0.1206012e-2
+5.0080000e+2	+1.0891123e+0	+0.1210769e-2
+5.0100000e+2	+1.0854501e+0	+0.1258337e-2
+5.0120000e+2	+1.0927745e+0	+0.1239310e-2
+5.0140000e+2	+1.0939952e+0	+0.1248823e-2
+5.0160000e+2	+1.0854501e+0	+0.1204823e-2
+5.0180000e+2	+1.0946057e+0	+0.1222661e-2
+5.0200000e+2	+1.0891123e+0	+0.1201256e-2
+5.0220000e+2	+1.0872811e+0	+0.1229796e-2
+5.0240000e+2	+1.0897226e+0	+0.1225039e-2
+5.0260000e+2	+1.0885019e+0	+0.1220283e-2
+5.0280000e+2	+1.0799567e+0	+0.1229796e-2
+5.0300000e+2	+1.0793463e+0	+0.1210769e-2
+5.0320000e+2	+1.0830085e+0	+0.1183418e-2
+5.0340000e+2	+1.0781256e+0	+0.1248823e-2
+5.0360000e+2	+1.0781256e+0	+0.1229796e-2
+5.0380000e+2	+1.0811775e+0	+0.1234553e-2
+5.0400000e+2	+1.0750737e+0	+0.1220283e-2
